Supplier,Supplier Code,Section,Season,Supp.Art.Code,Article Code,Article Name,Color Name,Color Code,Treatment Name,Treatment Code,Composition,Weave,Stretch,Construction,Weight GSM,Width CM,Dye Type,Care Label,Barcode/QR,Base Price EUR,Color Hex,Image URL,,Image
SUZER TEKSTIL,DOS-0001,NOEX FASHION,AW 26-27,303327,234-3100,MILAS,ICE.CREAM,BM086,,,100% CO,PLAIN,RIGID,,125,150,,,,,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1347025,134-7025,MILTON,BLACK,XM001,HARDY,X1200,98% CO 2% EA,TWILL,WEFT,,325,143,,,,4.3,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,132-8132,132-8132,MILO,SAND,V6,GARMENT-DYE,G-DYE,100% CO,TWILL,RIGID,30/1-30/1,190,150,,,,3.6,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124-6350,124-6350,MINELLA,SENF,BM405,MAEX,MX501,100% CO,PLAIN,RIGID,80/1 - 80/1,85,155,PD,,,5.45,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124-6350,124-6350,MINELLA,SHELL,OM120,MAEX,MX501,100% CO,PLAIN,RIGID,80/1 - 80/1,85,155,PD,,,5.45,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1343132,134-3132,MINOR,,,,,100% CO,PLAIN,RIGID,60/1-50/2,,,,,,4.55,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,132-9751,132-9751,MIRAGE,SAND,V6,GARMENT-DYE,G-DYE,97% CO 3% EA,TWILL,WEFT,50/1-60/1,160,150,,,,,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,9276-COLIN,330-1092,MOLIN,KHAKI,V5,GARMENT-DYE,G-DYE,82% CO 16% VIS 2% EA,FANCY,WEFT,20/1-40/1+28/1,265,140,GD,,,4.3,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1226850,122-6850,MONACO,,,,,,PLAIN,RIGID,,,,,,,4.1,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1329623,132-9623,MONROE,PFD,AM500,,,100% ORG. CO,TWILL,RIGID,,335,150,PD,,,4.25,,,,
SUZER TEKSTIL,DOS-0001,OVERDOSE,SS25,ASTANA 1/11,630-1850,MONTENEGRO,STELLAR,QM720,HYPERLUX,HYP500,100% CO,PLAIN,RIGID,,175,150,,,,4.8,,,,
SUZER TEKSTIL,DOS-0001,OVERDOSE,SS25,ASTANA 1/1,630-1850,MONTENEGRO,OPTIC-WHITE,AX001,HYPERLUX,HYP500,100% CO,PLAIN,RIGID,,175,150,,,,4.8,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,122-6647,122-6647,MORATI,GRAIN,DM500,MAEX,MX501,96% CO 4% EA,TWILL,WEFT,50/1*40/1,145,185,PD,,,4.4,,,,"Change
      Clear"
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1164836,116-4836,MORINA,DENIM,V3,GARMENT-DYE,G-DYE,97% CO 3% EA,H.BONE,WEFT,,215,150,,,,,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1206532,120-6532,MORIS,TRIUMPH BLUE,NM705,,,94% CO 6% EA,TWILL,POWER STRECTH,40/1*30/1,205,140,PD,40 / bleach_no / tumble_no / iron_medium / dry_P,,3.45,,,Article DetailsArticle Code120-6532Article NameMORISColor CodeNM705Color NameTRIUMPH BLUETreatment CodeTreatment NameSectionMUSTANG SSSeasonSS25Fabric SpecificationsComposition94% CO 6% EAWeaveTWILLStretchPOWER STRECTHConstruction40/1*30/1Weight GSM205Width CM140Dye TypePDColor HexCare InstructionsCare Label    Supplier InformationSupplierSUZER TEKSTILSupplier CodeDOS-0001Supp.Art.Code1206532Base Price EUR3.45HistoryMedia & IdentificationQR CodeArticle ImageNo image,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1206532,120-6532,MORIS,CAMELLO,BM500,MAEX,MX501,94% CO 6% EA,TWILL,WEFT,40/1*30/1,204,140,PD,40 / bleach_no / tumble_no / iron_low / dry_P,,4.35,,,,
